Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 4034,Livingston,Private,3,Same,Same,Same,Same,Same,Same,Below,0,Unknown,Unknown,17500,Average,Average,17547,Average,Average,23591,Average,Average
Hospital 4035,Brownfield,Government,3,None,None,Same,None,Below,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15380,Average,Average,0,Unknown,Unknown
Hospital 4036,Mexia,Proprietary,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,15226,Average,Average,16783,Average,Average,0,Unknown,Unknown
Hospital 4037,Mckinney,Proprietary,2,Same,Above,Below,Below,Same,Above,Same,25317,Average,Average,19043,Average,Higher,18730,Average,Higher,27201,Average,Higher
Hospital 4038,Eastland,Government,2,Same,None,Same,None,Below,Same,None,0,Unknown,Unknown,16699,Average,Average,15757,Average,Average,0,Unknown,Unknown
Hospital 4039,Azle,Church,3,Same,None,Same,Same,Same,Same,Same,0,Unknown,Unknown,17981,Average,Average,20090,Average,Higher,0,Unknown,Unknown
Hospital 4040,Dallas,Proprietary,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20359,Average,Lower
Hospital 4041,Baytown,Private,3,Same,Same,Above,Below,Same,Below,Below,25088,Average,Average,18450,Average,Higher,19852,Average,Higher,20881,Average,Lower
Hospital 4042,Austin,Unknown,5,Above,Above,Above,Above,Above,Above,Above,26103,Average,Higher,18149,Better,Higher,18236,Average,Higher,22747,Average,Higher
Hospital 4043,Corsicana,Unknown,2,Same,Below,Above,Same,Above,Above,Same,21758,Average,Average,15399,Average,Average,18489,Average,Average,23631,Average,Average
Hospital 4044,Glen Rose,Government,3,None,None,Same,None,Below,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,15121,Average,Lower,0,Unknown,Unknown
Hospital 4045,Woodville,Government,2,Same,None,Below,None,Below,Above,None,0,Unknown,Unknown,16772,Average,Average,15987,Average,Average,0,Unknown,Unknown
Hospital 4046,Dallas,Private,4,Same,Above,Above,Same,Same,Below,Same,23909,Average,Average,17553,Average,Higher,18630,Average,Higher,24418,Average,Higher
Hospital 4047,Bay City,Government,3,Same,Same,Same,Same,Same,Same,Same,25108,Average,Average,17893,Average,Average,20418,Average,Higher,23279,Average,Average
Hospital 4048,Sherman,Proprietary,3,Same,Same,Above,Below,Same,Same,Same,23525,Average,Average,16995,Average,Average,18992,Average,Higher,27429,Average,Higher
Hospital 4049,Henderson,Private,3,Same,Below,Same,Same,Same,Above,Same,0,Unknown,Unknown,15137,Average,Average,15616,Average,Lower,22555,Average,Average
Hospital 4050,Lufkin,Proprietary,4,Same,Same,Same,Same,Above,Above,Same,23220,Average,Average,16392,Average,Average,18105,Average,Average,21317,Average,Average
Hospital 4051,Kilgore,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4052,Lamesa,Government,-1,None,None,None,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,13429,Average,Lower,0,Unknown,Unknown
Hospital 4053,Breckenridge,Government,3,None,None,Above,None,Below,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,14347,Average,Lower,0,Unknown,Unknown
Hospital 4054,Nacogdoches,Government,2,Same,Same,Below,Below,Below,Same,Same,24309,Average,Average,17343,Average,Average,16489,Average,Average,28267,Average,Higher
Hospital 4055,Port Arthur,Proprietary,3,Same,Above,Same,Below,Same,Below,Below,24849,Average,Average,18623,Average,Higher,22012,Average,Higher,22311,Average,Average
Hospital 4056,Richardson,Government,2,Same,Below,Same,Same,Same,Above,Below,27301,Average,Higher,22265,Average,Higher,20702,Average,Higher,22832,Average,Average
Hospital 4057,Plainview,Private,4,Same,Above,Above,Above,Below,Same,Same,0,Unknown,Unknown,16616,Average,Average,15340,Average,Lower,24227,Average,Higher
Hospital 4058,Abilene,Proprietary,2,Below,Below,Above,Same,Same,Same,Same,23627,Average,Average,17844,Worse,Average,18312,Average,Average,25205,Average,Higher
Hospital 4059,Grapevine,Private,4,Same,Above,Below,Above,Same,Above,Same,23559,Average,Average,19500,Average,Higher,17236,Better,Average,25278,Average,Higher
Hospital 4060,Mineral Wells,Government,2,Same,None,Same,Same,Same,Above,Below,0,Unknown,Unknown,15567,Average,Average,17983,Average,Average,0,Unknown,Unknown
Hospital 4061,San Angelo,Private,4,Same,Above,Above,Above,Above,Same,Same,23345,Average,Average,15321,Average,Lower,16757,Average,Average,21959,Average,Average
Hospital 4062,Jasper,Government,2,Same,None,Below,Same,Same,Same,Same,0,Unknown,Unknown,16606,Average,Average,18547,Average,Average,0,Unknown,Unknown
Hospital 4063,Canadian,Government,3,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,10816,Average,Lower,0,Unknown,Unknown
Hospital 4064,Vernon,Government,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,16246,Average,Average,16720,Average,Average,0,Unknown,Unknown
Hospital 4065,Seymour,Government,4,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,17005,Average,Average,14777,Average,Lower,0,Unknown,Unknown
Hospital 4066,Brownwood,Proprietary,1,Below,Below,Above,Below,Same,Same,Below,0,Unknown,Unknown,15953,Average,Average,18654,Worse,Higher,24959,Average,Higher
Hospital 4067,Granbury,Proprietary,4,Same,Above,Above,Below,Same,Same,Below,23819,Average,Average,17102,Average,Average,20521,Average,Higher,23284,Average,Higher
Hospital 4068,Cuero,Government,3,Same,None,Above,Same,Same,Above,Same,0,Unknown,Unknown,18600,Average,Average,19927,Average,Higher,0,Unknown,Unknown
Hospital 4069,Fredericksburg,Private,5,Same,Above,Above,Above,Same,Above,Below,0,Unknown,Unknown,15091,Average,Average,16426,Average,Average,21508,Average,Average
Hospital 4070,Aransas Pass,Proprietary,3,Same,None,Same,None,Same,Below,None,0,Unknown,Unknown,17023,Average,Average,16103,Average,Average,0,Unknown,Unknown
Hospital 4071,Houston,Private,5,Above,Above,Same,Above,Same,Same,Below,23879,Average,Average,19281,Average,Higher,20996,Better,Higher,18999,Average,Lower
Hospital 4072,Webster,Proprietary,3,Above,Below,Below,Below,Same,Above,Same,25122,Average,Average,18731,Better,Higher,21739,Better,Higher,23439,Average,Average
Hospital 4073,Denton,Proprietary,4,Above,Above,Below,Same,Same,Above,Same,26645,Average,Higher,18238,Better,Higher,18870,Average,Higher,22844,Average,Higher
Hospital 4074,Houston,Proprietary,2,Same,Above,Below,Below,Above,Same,Same,26196,Average,Average,17976,Average,Average,21181,Average,Higher,24083,Average,Average
Hospital 4075,Bedford,Private,3,Same,Below,Above,Same,Same,Same,Same,25015,Average,Average,18790,Average,Higher,18796,Average,Higher,28314,Average,Higher
Hospital 4076,Nocona,Government,2,None,None,Below,None,Same,Above,None,0,Unknown,Unknown,15516,Average,Average,16793,Average,Average,0,Unknown,Unknown
Hospital 4077,Laredo,Proprietary,3,Above,Below,Above,Below,Same,Same,Same,21705,Average,Average,17242,Average,Average,20698,Better,Higher,22213,Average,Average
Hospital 4078,Houston,Proprietary,2,Same,Below,Below,Below,Same,Below,Same,24602,Average,Average,18680,Average,Higher,23983,Average,Higher,25115,Average,Higher
Hospital 4079,Dallas,Proprietary,4,Same,Above,Below,Above,Same,Same,Same,25487,Average,Average,19112,Average,Higher,19415,Average,Higher,21365,Average,Average
Hospital 4080,Plano,Proprietary,2,Same,Below,Below,Same,Same,Above,Below,25709,Average,Average,17983,Average,Higher,18840,Average,Higher,32418,Average,Higher
Hospital 4081,Big Spring,Proprietary,2,Below,Above,Below,Below,Same,Above,None,22775,Average,Average,17909,Average,Average,16482,Average,Average,0,Unknown,Unknown
Hospital 4082,Rio Grande City,Government,3,Same,None,Below,None,Same,Below,Same,22004,Average,Average,15988,Average,Average,15397,Average,Lower,0,Unknown,Unknown
Hospital 4083,Nacogdoches,Unknown,3,Same,Above,Same,Same,Same,Above,Same,25588,Average,Average,16577,Average,Average,16461,Average,Average,25802,Average,Higher
Hospital 4084,Fairfield,Government,4,Same,None,Above,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,16580,Average,Average,0,Unknown,Unknown
Hospital 4085,Houston,Proprietary,4,Same,Above,Above,Same,Same,Above,Same,0,Unknown,Unknown,18173,Average,Average,22679,Average,Higher,23654,Average,Average
Hospital 4086,Odessa,Proprietary,2,Same,Same,Above,Below,Same,Below,Same,23257,Average,Average,17397,Average,Average,19937,Average,Higher,23465,Average,Average
Hospital 4087,Brownsville,Proprietary,4,Above,Above,Below,Below,Same,Above,Below,24013,Average,Average,17428,Better,Average,20858,Better,Higher,25185,Average,Higher
Hospital 4088,El Paso,Proprietary,2,Same,Same,Below,Below,Same,Above,Same,22991,Average,Average,16261,Average,Average,17277,Average,Average,24242,Average,Higher
Hospital 4089,Lewisville,Private,2,Same,Below,Below,Same,Same,Above,Same,25756,Average,Average,17765,Average,Average,20251,Average,Higher,22602,Average,Average
Hospital 4090,Tomball,Proprietary,2,Same,Below,Above,Below,Same,Below,Same,27906,Average,Higher,19746,Average,Higher,21426,Average,Higher,21241,Average,Average
Hospital 4091,Fort Worth,Proprietary,2,Same,Below,Below,Same,Same,Same,Same,26002,Average,Higher,19104,Average,Higher,20485,Average,Higher,24960,Average,Higher
Hospital 4092,Houston,Proprietary,3,None,Same,None,Below,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4093,Arlington,Proprietary,4,Same,Above,Below,Below,Same,Same,Same,25462,Average,Average,18445,Average,Higher,21031,Average,Higher,23461,Average,Average
Hospital 4094,Burleson,Church,4,Same,Same,Above,Same,Same,Below,Below,23492,Average,Average,18567,Average,Higher,21283,Average,Higher,24681,Average,Higher
Hospital 4095,Dallas,Proprietary,2,Same,Below,Below,Below,Same,Same,Above,24426,Average,Average,17332,Average,Average,16689,Average,Average,26230,Average,Higher
Hospital 4096,Humble,Private,1,Same,Same,Below,Below,Same,Below,Same,24570,Average,Average,17695,Average,Average,19600,Average,Higher,0,Unknown,Unknown
Hospital 4097,Lubbock,Government,3,Below,Same,Above,Above,Same,Below,Below,24252,Worse,Average,17656,Average,Average,16945,Average,Average,22956,Average,Average
Hospital 4098,Mesquite,Proprietary,2,Same,Same,Below,Below,Same,Below,Same,24042,Average,Average,18289,Average,Average,21224,Average,Higher,0,Unknown,Unknown
Hospital 4099,Tyler,Government,4,Same,None,Above,Above,Above,Above,Below,24435,Average,Average,15791,Average,Average,15620,Average,Lower,0,Unknown,Unknown
Hospital 4100,El Campo,Private,3,Same,None,Above,None,Same,Same,Same,0,Unknown,Unknown,16810,Average,Average,19718,Average,Average,0,Unknown,Unknown
Hospital 4101,San Antonio,Unknown,1,Same,Below,Above,Below,Below,Below,None,25752,Average,Average,20570,Average,Higher,23336,Average,Higher,0,Unknown,Unknown
Hospital 4102,Littlefield,Government,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,14884,Average,Lower,0,Unknown,Unknown
Hospital 4103,Longview,Proprietary,4,Above,Above,Above,Same,Same,Same,Below,22930,Average,Average,16166,Average,Average,16998,Average,Average,22024,Average,Average
Hospital 4104,Nassau Bay,Private,4,Same,Same,Same,Same,Same,Same,Same,28147,Average,Higher,20136,Average,Higher,22909,Average,Higher,23673,Average,Higher
Hospital 4105,Mcallen,Proprietary,4,Above,Above,Below,Below,Same,Above,Same,22824,Average,Average,15700,Better,Average,16287,Better,Lower,25681,Average,Higher
Hospital 4106,Austin,Proprietary,4,Same,Above,Below,Above,Same,Same,Above,26259,Average,Higher,18715,Average,Higher,17912,Average,Average,24284,Average,Higher
Hospital 4107,Houston,Proprietary,2,Same,Same,Same,Below,Same,Same,Same,24082,Average,Average,16692,Average,Average,19786,Average,Higher,0,Unknown,Unknown
Hospital 4108,Round Rock,Proprietary,4,Same,Above,Same,Same,Same,Same,Above,23258,Average,Average,17394,Average,Average,18919,Average,Higher,24882,Average,Higher
Hospital 4109,Dallas,Private,3,Same,Above,Above,Same,Same,Below,Same,25237,Average,Average,18139,Average,Higher,20883,Average,Higher,26001,Average,Higher
Hospital 4110,Carrollton,Proprietary,3,Same,Above,Below,Below,Same,Above,Same,24431,Average,Average,18051,Average,Average,21056,Average,Higher,22674,Average,Average
Hospital 4111,Rowlett,Proprietary,1,Same,Above,Below,Below,Same,Same,Same,23461,Average,Average,16916,Average,Average,17369,Average,Average,19679,Average,Average
Hospital 4112,Denton,Private,3,Same,Below,Below,Same,Same,Same,Same,26671,Average,Higher,18785,Average,Higher,19993,Average,Higher,27272,Average,Higher
Hospital 4113,Knox City,Government,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,17023,Average,Average,0,Unknown,Unknown
Hospital 4114,Palestine,Proprietary,2,Same,Same,Same,Below,Same,Same,Below,24766,Average,Average,17386,Average,Average,17759,Average,Average,25593,Average,Higher
Hospital 4115,Hamilton,Government,5,Same,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,15355,Average,Average,15500,Average,Lower,0,Unknown,Unknown
Hospital 4116,Levelland,Private,4,Same,None,Same,Above,Same,Above,None,0,Unknown,Unknown,15652,Average,Average,15843,Average,Average,0,Unknown,Unknown
Hospital 4117,Dallas,Government,3,None,Below,Same,Above,None,None,Same,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,25126,Worse,Higher
Hospital 4118,Plano,Private,3,Same,Above,Below,Above,Same,Below,Same,24141,Average,Average,17562,Average,Average,17652,Average,Average,22260,Average,Average
Hospital 4119,Houston,Unknown,5,None,None,Above,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,22492,Average,Average
Hospital 4120,Kingwood,Proprietary,3,Above,Above,Below,Below,Same,Same,Same,27724,Average,Higher,18620,Average,Higher,21473,Average,Higher,27455,Average,Higher
Hospital 4121,Fort Worth,Private,5,Same,Above,Above,Above,Same,Same,Same,22474,Average,Average,16153,Average,Average,18200,Average,Average,21693,Better,Average
Hospital 4122,San Antonio,Proprietary,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,21637,Average,Average
Hospital 4123,Corpus Christi,Proprietary,4,Same,Above,Above,Same,Same,Below,Same,22969,Average,Average,17622,Average,Average,20319,Average,Higher,21110,Average,Lower
Hospital 4124,Houston,Proprietary,-1,None,None,None,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4125,Texarkana,Church,4,Same,Below,Above,Same,Same,Below,Same,22589,Average,Average,16760,Average,Average,19100,Average,Higher,23266,Average,Higher
Hospital 4126,Houston,Unknown,2,None,Same,None,None,Same,Below,None,0,Unknown,Unknown,18694,Average,Average,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4127,Houston,Unknown,-1,None,Above,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20266,Average,Lower
Hospital 4128,Austin,Proprietary,-1,None,None,Above,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19123,Average,Lower
Hospital 4129,Austin,Proprietary,5,Same,Above,Below,Above,Same,Above,Above,24984,Average,Average,16150,Average,Average,17589,Average,Average,19850,Average,Lower
Hospital 4130,Sugar Land,Private,4,Above,Below,Below,Above,Same,Below,Below,24516,Average,Average,19096,Average,Higher,20891,Better,Higher,21980,Average,Average
Hospital 4131,Irving,Proprietary,3,Same,Above,Below,Same,Same,Above,None,23687,Average,Average,15694,Average,Average,17807,Average,Average,24973,Average,Higher
Hospital 4132,Edinburg,Proprietary,3,None,None,Same,Same,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20258,Average,Lower
Hospital 4133,Wichita Falls,Proprietary,4,None,None,Below,Above,Same,Same,Below,0,Unknown,Unknown,0,Unknown,Unknown,15546,Average,Average,25798,Average,Higher
Hospital 4134,Alice,Private,3,Same,None,Below,Same,Below,Below,Below,24342,Average,Average,15905,Average,Average,20938,Average,Higher,0,Unknown,Unknown
Hospital 4135,Pasadena,Proprietary,-1,None,None,None,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4136,Ennis,Proprietary,4,Same,None,Above,None,Same,Above,None,0,Unknown,Unknown,16618,Average,Average,20998,Average,Higher,21565,Average,Average
Hospital 4137,Bryan,Proprietary,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20006,Average,Lower
Hospital 4138,Allen,Government,4,Same,Above,Below,Same,Same,Same,Same,23971,Average,Average,15988,Average,Average,19982,Average,Higher,26904,Average,Higher
Hospital 4139,Houston,Private,4,Above,Below,Above,Above,Same,Below,Below,25429,Average,Average,18711,Average,Higher,21106,Better,Higher,25116,Average,Higher
Hospital 4140,El Paso,Proprietary,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19001,Average,Lower
Hospital 4141,Katy,Private,4,Same,Above,Above,Above,Same,Same,Below,23873,Average,Average,17461,Average,Average,18260,Average,Average,22277,Average,Average
Hospital 4142,Sugar Land,Private,3,Same,Above,Below,Same,Same,Above,Below,24437,Average,Average,17277,Average,Average,18174,Average,Average,18453,Average,Lower
Hospital 4143,Dallas,Proprietary,5,Same,None,Below,Above,None,None,None,23905,Average,Average,18913,Average,Higher,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4144,Frisco,Proprietary,5,None,Above,Above,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,23364,Average,Higher
Hospital 4145,Harlingen,Proprietary,5,Same,Above,Above,Same,Same,Same,Below,24620,Average,Average,17873,Average,Average,21341,Average,Higher,24022,Average,Higher
Hospital 4146,San Antonio,Government,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,18239,Average,Lower
Hospital 4147,Sugar Land,Unknown,5,None,None,Same,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19302,Average,Lower
Hospital 4148,The Woodlands,Private,3,Above,Below,Same,Below,Same,Below,Same,23824,Average,Average,20265,Average,Higher,21613,Better,Higher,26099,Average,Higher
Hospital 4149,Tyler,Unknown,5,None,Above,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,21778,Average,Average
Hospital 4150,Austin,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4151,Austin,Private,4,Same,Same,Above,Above,Same,Same,Same,0,Unknown,Unknown,17567,Average,Average,18922,Average,Average,22390,Average,Average
Hospital 4152,Edinburg,Unknown,2,Same,Below,Below,Below,Same,Below,Below,23719,Average,Average,18927,Average,Higher,20440,Average,Higher,23507,Average,Higher
Hospital 4153,Austin,Unknown,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,22053,Average,Average
Hospital 4154,Arlington,Unknown,2,None,Below,Below,Same,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,25087,Average,Higher
Hospital 4155,Irving,Proprietary,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,22589,Average,Average
Hospital 4156,Amarillo,Proprietary,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20366,Better,Lower
Hospital 4157,Lubbock,Proprietary,4,Same,Below,Above,Above,Same,Same,Below,24014,Average,Average,15006,Average,Lower,19581,Average,Higher,21722,Average,Average
Hospital 4158,El Paso,Proprietary,5,None,Above,Above,Above,Same,Same,Below,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,24499,Average,Higher
Hospital 4159,Fort Worth,Private,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,26532,Average,Higher
Hospital 4160,Trophy Club,Proprietary,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,28578,Average,Higher
Hospital 4161,Frisco,Unknown,3,Same,Same,Below,Below,Same,Same,Same,24533,Average,Average,17607,Average,Average,21140,Average,Higher,27237,Average,Higher
Hospital 4162,Southlake,Government,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,25589,Average,Higher
Hospital 4163,Dallas,Proprietary,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,23381,Average,Higher
Hospital 4164,Plano,Unknown,4,Above,Above,Same,Above,Same,Above,Same,23657,Average,Average,18180,Average,Higher,17484,Average,Average,24777,Average,Higher
Hospital 4165,Plano,Proprietary,-1,None,None,None,Above,Same,None,Below,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4166,Denton,Unknown,4,None,None,Below,Above,Same,Above,None,27307,Average,Higher,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4167,Dallas,Proprietary,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,26159,Average,Higher
Hospital 4168,Friona,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,21117,Average,Higher,0,Unknown,Unknown
Hospital 4169,Big Lake,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4170,Groesbeck,Government,-1,None,None,Above,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,15510,Average,Average,0,Unknown,Unknown
Hospital 4171,Eldorado,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4172,Caldwell,Church,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,18349,Average,Average,0,Unknown,Unknown
Hospital 4173,Junction,Government,3,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,16429,Average,Average,0,Unknown,Unknown
Hospital 4174,Iraan,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4175,Denver City,Government,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,18488,Average,Average,0,Unknown,Unknown
Hospital 4176,Mccamey,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4177,Ballinger,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,18145,Average,Average,0,Unknown,Unknown
Hospital 4178,Sweeny,Government,-1,None,None,None,None,None,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4179,Eagle Lake,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4180,Rotan,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4181,Kermit,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4182,Winters,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4183,Madisonville,Church,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4184,Refugio,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4185,Aspermont,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4186,Jacksonville,Private,-1,Same,None,Same,None,None,None,None,0,Unknown,Unknown,16054,Average,Average,18564,Average,Average,0,Unknown,Unknown
Hospital 4187,Anahuac,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4188,Navasota,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4189,Lampasas,Church,4,Same,None,Above,None,Same,Same,None,0,Unknown,Unknown,16863,Average,Average,17530,Average,Average,0,Unknown,Unknown
Hospital 4190,Sonora,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4191,Eden,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4192,Chillicothe,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4193,Winnie,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4194,Rankin,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4195,Hondo,Government,4,None,None,Same,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15660,Average,Average,0,Unknown,Unknown
Hospital 4196,Dalhart,Government,-1,Same,None,Below,None,None,None,None,0,Unknown,Unknown,16843,Average,Average,13870,Average,Lower,0,Unknown,Unknown
Hospital 4197,Palacios,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4198,Stanton,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4199,Wheeler,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,22960,Average,Higher,0,Unknown,Unknown
Hospital 4200,Muenster,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 4201,Lockney,Government,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,15010,Average,Average,15015,Average,Lower,0,Unknown,Unknown
Hospital 4202,Van Horn,Proprietary,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
