Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 2324,Columbus,Private,2,Below,Above,Below,Same,Above,Above,Below,25110,Average,Average,17172,Worse,Average,18035,Worse,Average,22386,Average,Average
Hospital 2325,Jackson,Private,3,Above,Same,Below,Above,Below,Same,Above,21861,Average,Lower,16438,Average,Average,17434,Better,Average,22378,Average,Higher
Hospital 2326,Meridian,Private,1,Below,Below,Below,Same,Same,Same,Below,22399,Average,Average,17570,Average,Average,17854,Average,Average,26346,Average,Higher
Hospital 2327,Picayune,Government,2,Same,None,Below,Same,Same,Same,Same,0,Unknown,Unknown,16106,Average,Average,17297,Average,Average,0,Unknown,Unknown
Hospital 2328,Gulfport,Proprietary,2,Same,Above,Below,Same,Same,Above,Same,0,Unknown,Unknown,16607,Average,Average,17973,Average,Average,22448,Average,Average
Hospital 2329,Magee,Government,3,Same,None,Above,Above,Below,Above,None,0,Unknown,Unknown,14660,Average,Lower,16050,Average,Lower,0,Unknown,Unknown
Hospital 2330,Senatobia,Proprietary,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,15535,Average,Average,14996,Average,Lower,0,Unknown,Unknown
Hospital 2331,Philadelphia,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2332,Batesville,Proprietary,2,Same,None,Below,Same,Same,Above,Below,0,Unknown,Unknown,15379,Average,Average,17929,Average,Average,0,Unknown,Unknown
Hospital 2333,Whitfield,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,13487,Average,Lower,0,Unknown,Unknown
Hospital 2334,Flowood,Proprietary,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2335,Flowood,Proprietary,3,Same,Same,Above,Below,Same,Above,Below,0,Unknown,Unknown,15725,Average,Average,18971,Average,Average,23761,Average,Higher
Hospital 2336,Southaven,Private,1,Same,Below,Below,Below,Same,Same,Above,27082,Average,Higher,17992,Average,Higher,17858,Average,Average,0,Unknown,Unknown
Hospital 2337,Meridian,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2338,Jackson,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2339,Bay Saint Louis,Government,4,Same,None,Above,Same,Same,Same,Same,0,Unknown,Unknown,16235,Average,Average,16967,Average,Average,0,Unknown,Unknown
Hospital 2340,Raleigh,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2341,Olive Branch,Private,4,Same,Same,Same,Above,Same,Above,Same,26986,Average,Average,14948,Average,Average,16693,Average,Average,0,Unknown,Unknown
Hospital 2342,Grenada,Government,2,Same,Above,Below,Below,Same,Above,Same,23794,Average,Average,20556,Average,Higher,20027,Average,Higher,27786,Average,Higher
Hospital 2343,Forest,Private,3,Same,None,Above,None,None,Above,None,0,Unknown,Unknown,16984,Average,Average,15832,Average,Average,0,Unknown,Unknown
Hospital 2344,Aberdeen,Private,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,23247,Average,Higher,0,Unknown,Unknown
Hospital 2345,Wiggins,Proprietary,-1,None,None,Below,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,19947,Average,Higher,0,Unknown,Unknown
Hospital 2346,Charleston,Government,-1,None,None,None,Above,None,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,21539,Average,Higher,0,Unknown,Unknown
Hospital 2347,Monticello,Government,-1,None,None,Below,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,20125,Average,Higher,0,Unknown,Unknown
Hospital 2348,Richton,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,17151,Average,Average,0,Unknown,Unknown
Hospital 2349,Macon,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2350,Pontotoc,Private,4,None,None,Above,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,15648,Average,Average,0,Unknown,Unknown
Hospital 2351,Centreville,Government,3,None,None,Same,None,Same,Above,Same,0,Unknown,Unknown,17043,Average,Average,15474,Average,Average,0,Unknown,Unknown
Hospital 2352,Winona,Private,-1,Same,None,Below,None,None,None,None,0,Unknown,Unknown,18566,Average,Average,22905,Average,Higher,0,Unknown,Unknown
Hospital 2353,Yazoo City,Private,3,Same,None,Same,None,None,Same,None,0,Unknown,Unknown,16917,Average,Average,17286,Average,Average,0,Unknown,Unknown
Hospital 2354,Marks,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
